Code_id,Block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,Stype,AgeL,AgeH,Atype
35309-05,757,Open insertion of 2 or more stents into multiple visceral arteries or veins,"Open ins mult stents mult visc art/veins",1/7/1998,1/7/2000,,,,,
35309-06,754,"Percutaneous transluminal balloon angioplasty with stenting, single stent","PTA perc w stenting, single stent",1/7/2000,,,,,,
35309-07,754,"Percutaneous transluminal balloon angioplasty with stenting, multiple stents","PTA perc w stenting, multiple stents",1/7/2000,,,,,,
35309-08,754,"Open transluminal balloon angioplasty with stenting, single stent","Open TBA w stenting, single stent",1/7/2000,,,,,,
35309-09,754,"Open transluminal balloon angioplasty with stenting, multiple stents","Open TBA w stenting, multiple stents",1/7/2000,,,,,,
35310-00,671,Percutaneous insertion of 1 transluminal stent into single coronary artery,"Perc ins trnslml stent, sgl coron artery",1/7/1998,1/7/2008,,,,,
35310-01,671,Percutaneous insertion of >= 2 transluminal stents into single coronary artery,Perc ins mult trnslml stnt sgl coron art,1/7/1998,1/7/2008,,,,,
35310-02,671,Percutaneous insertion of >= 2 transluminal stents into multiple coronary arteries,Perc ins >=2 trnslml stnt coron arteries,1/7/1998,1/7/2008,,,,,
35310-03,671,Open insertion of 1 transluminal stent into single coronary artery,Open ins trnslml stent single coron art,1/7/1998,1/7/2008,,,,,
35310-04,671,Open insertion of >= 2 transluminal stents into single coronary artery,Opn ins mult trnslml stnt sgl coron art,1/7/1998,1/7/2008,,,,,
35310-05,671,Open insertion of >= 2 transluminal stents into multiple coronary arteries,Opn ins mult trnslml stnt coron arteries,1/7/1998,1/7/2008,,,,,
35312-00,704,Percutaneous peripheral artery atherectomy,Perc peripheral artery atherectomy,1/7/1998,,,,,,
35312-01,704,Open peripheral artery atherectomy,Open peripheral artery atherectomy,1/7/1998,,,,,,
35315-00,758,Percutaneous peripheral laser angioplasty,Perc peripheral laser angioplasty,1/7/1998,,,,,,
35315-01,758,Open peripheral laser angioplasty,Open peripheral laser angioplasty,1/7/1998,,,,,,
35317-00,741,"Percutaneous peripheral arterial or venous catheterisation with administration of thrombolytic or chemotherapeutic agents, by continuous infusion",Perc cath w admin agt by contin infusion,1/7/1998,1/7/2017,,,,,
35317-01,741,Peripheral arterial or venous catheterisation with administration of thrombolytic agent,Peripheral cath w admin thrmblytc agt,1/7/2017,,,,,,
35317-02,741,Peripheral arterial or venous catheterisation with administration of other therapeutic agent,Peripheral cath w admin oth thpc agt,1/7/2017,,,,,,
35319-00,741,Percutaneous peripheral arterial or venous catheterisation with administration of thrombolytic or chemotherapeutic agents by pulse spray technique,Perc cath w admin agt by pulse spray,1/7/1998,1/7/2017,,,,,
35320-00,741,Open peripheral arterial or venous catheterisation with administration of thrombolytic or chemotherapeutic agents,"Open cath w admin thrmblytc/chemthpc agt",1/7/1998,1/7/2017,,,,,
35321-00,767,Transcatheter embolisation of blood vessel,Transcatheter embolisation blood vessel,1/7/1998,1/7/2008,,,,,
35321-01,694,"Open surgical peripheral arterial catheterisation with administration of agents to occlude arteries, vein or arteriovenous fistula or to arrest haemorrhage","Opn perph cath ocld art/ven/AVM/haem",1/7/1998,1/7/2000,,,,,
35321-02,768,"Transcatheter embolisation of intracranial arteries, not elsewhere classified",Trnscath embolisation intrcran art NEC,1/7/2008,,,,,,
35321-03,768,"Transcatheter embolisation of blood vessels, face and neck","Trnscath embolisation bl vesl, fce & nek",1/7/2008,,,,,,
35321-04,768,"Transcatheter embolisation of blood vessels, chest","Trnscath embolisation bl vesl, chest",1/7/2008,,,,,,
35321-05,768,"Transcatheter embolisation of blood vessels, abdomen","Trnscath embolisation bl vesl, abdo",1/7/2008,,,,,,
35321-06,768,"Transcatheter embolisation of blood vessels, pelvis","Trnscath embolisation bl vesl, pelvis",1/7/2008,,,,,,
35321-07,768,Transcatheter embolisation of blood vessels of limbs,"Trnscath embolisation bl vesl, limbs",1/7/2008,,,,,,
35321-08,768,"Transcatheter embolisation of intracranial veins, not elsewhere classified",Trnscath embolisation intracran ven NEC,1/7/2008,,,,,,
35321-10,768,Transcatheter embolisation of other blood vessels,Trsncath embolisation oth bl vesl,1/7/2008,,,,,,
35321-11,768,Transcatheter embolisation of aorta,Transcatheter embolisation of aorta,1/7/2017,,,,,,
35324-00,740,Angioscopy,Angioscopy,1/7/1998,,,,,,
35330-00,723,Percutaneous insertion of inferior vena cava filter,Perc insertion inferior vena cava filter,1/7/1998,,,,,,
35330-01,723,Open insertion of inferior vena cava filter,Open insertion inferior vena cava filter,1/7/1998,,,,,,
35331-00,723,Percutaneous removal of inferior vena cava filter,Perc removal inferior vena cava filter,1/7/2008,,,,,,
35331-01,723,Open removal of inferior vena cava filter,Open removal inferior vena cava filter,1/7/2008,,,,,,
35335-00,669,"Percutaneous transluminal coronary rotational atherectomy [PTCRA], 1 artery","PTCRA, 1 artery",1/7/2006,1/7/2008,,,,,
35338-00,669,"Percutaneous transluminal coronary rotational atherectomy [PTCRA], 1 artery with insertion of 1 stent","PTCRA, 1 artery w insertion of 1 stent",1/7/2006,1/7/2008,,,,,
35338-01,669,"Percutaneous transluminal coronary rotational atherectomy [PTCRA], 1 artery with insertion of >= 2 stents","PTCRA, 1 artery w insertion >= 2 stents",1/7/2006,1/7/2008,,,,,
35341-00,669,"Percutaneous transluminal coronary rotational atherectomy [PTCRA], multiple arteries","PTCRA, multiple arteries",1/7/2006,1/7/2008,,,,,
35344-00,669,"Percutaneous transluminal coronary rotational atherectomy [PTCRA], multiple arteries with insertion of 1 stent","PTCRA, multiple arteries w ins 1 stent",1/7/2006,1/7/2008,,,,,
35344-01,669,"Percutaneous transluminal coronary rotational atherectomy [PTCRA], multiple arteries with insertion of >= 2 stents","PTCRA, mult arteries w ins >= 2 stents",1/7/2006,1/7/2008,,,,,
35360-00,742,Percutaneous removal of intravascular foreign body,Perc removal intravascular foreign body,1/7/2008,,,,,,
35360-01,742,Open removal of intravascular foreign body,Open removal intravascular foreign body,1/7/2008,,,,,,
35400-00,1393,"Vertebroplasty, 1 vertebral body","Vertebroplasty, 1 vertebral body",1/7/2008,,,,,,
35400-01,1393,"Vertebroplasty, >= 2 vertebral bodies","Vertebroplasty, >= 2 vertebral bodies",1/7/2008,,,,,,
35412-00,11,Endovascular occlusion of cerebral aneurysm or arteriovenous malformation,"Endovas occl cerebral aneur / AV malform",1/7/2010,,,,,,
35414-00,702,Embolectomy or thrombectomy of intracranial artery,"Emblectmy/thrmbectmy intrcran artery",1/7/2019,,,,,,
35414-01,729,Thrombectomy of intracranial vein,Thrombectomy of intracranial vein,1/7/2019,,,,,,
35500-00,1296,Gynaecological examination,Gynaecological examination,1/7/1998,,2,1,,,
35503-00,1260,Insertion of intrauterine device [IUD],Insertion intrauterine device,1/7/1998,,2,1,,,
35506-00,1260,Replacement of intrauterine device [IUD],Replacement of intrauterine device [IUD],1/7/1998,,2,1,,,
35506-01,1260,Removal of intra-uterine contraceptive device [IUCD] without general anaesthesia,"R/O IU contraceptive dev wo GA",1/7/1998,1/7/2002,2,1,,,
35506-02,1260,Removal of intrauterine device [IUD],Removal of intrauterine device [IUD],1/7/1998,,2,1,,,
35507-00,1281,Destruction of vaginal wart,Destruction of vaginal wart,1/7/1998,,2,1,,,
35507-01,1289,Destruction of vulval wart,Destruction of vulval wart,1/7/1998,,2,1,,,
35509-00,1282,Hymenectomy,Hymenectomy,1/7/1998,,2,1,,,
35513-00,1293,Treatment of Bartholin's gland cyst,Treatment of Bartholin's gland cyst,1/7/1998,,2,1,,,
35518-00,1240,Aspiration of ovarian cyst,Aspiration of ovarian cyst,1/7/1998,,2,1,,,
35520-00,1290,Treatment of Bartholin's gland abscess,Treatment Bartholin's gland abscess,1/7/1998,,2,1,,,
35523-00,1118,Excision of urethral caruncle,Excision of urethral caruncle,1/7/1998,,,,,,
35527-00,1116,Cauterisation of urethral caruncle,Cauterisation of urethral caruncle,1/7/1998,,,,,,
35530-00,1293,Subtotal amputation of clitoris,Subtotal amputation of clitoris,1/7/1998,,2,1,,,
35530-01,1293,Total amputation of clitoris,Total amputation of clitoris,1/7/1998,,2,1,,,
35533-00,1294,Vulvoplasty,Vulvoplasty,1/7/1998,,2,2,,,
35533-01,1294,Repair of perineum,Repair of perineum,1/7/2019,,2,1,,,
35536-00,1292,Hemivulvectomy,Hemivulvectomy,1/7/1998,,2,2,,,
35536-01,1292,"Vulvectomy, unilateral","Vulvectomy, unilateral",1/7/1998,,2,2,,,
35536-02,1292,"Vulvectomy, bilateral","Vulvectomy, bilateral",1/7/1998,,2,2,,,
35539-00,1289,Laser destruction of lesion of vulva,Laser destruction of lesion of vulva,1/7/1998,,2,1,,,
35539-01,1281,Laser destruction of lesion of vagina,Laser destruction of lesion of vagina,1/7/1998,,2,1,,,
35539-02,1275,Laser destruction of lesion of cervix,Laser destruction of lesion of cervix,1/7/1998,,2,1,,,
35539-03,1282,Biopsy of vagina,Biopsy of vagina,1/7/1998,,2,1,,,
35539-04,1279,Vaginoscopy,Vaginoscopy,1/7/1998,,2,1,,,
35548-00,1292,Radical vulvectomy,Radical vulvectomy,1/7/1998,,2,2,,,
35551-00,810,Radical excision of pelvic lymph nodes via laparoscopy for gynaecological malignancy,Rad exc pelv lymph n via lap gyn malg,1/7/1998,1/7/2019,2,1,,,
35551-01,810,Radical excision of pelvic lymph nodes for gynaecological malignancy,Rad exc pelv lymph nodes for gyn malg,1/7/1998,1/7/2019,2,1,,,
35554-00,1286,Dilation of vagina,Dilation of vagina,1/7/1998,,2,1,,,
35557-00,1282,Excision of lesion of vagina,Excision of lesion of vagina,1/7/1998,,2,1,,,
35560-00,1282,Partial vaginectomy,Partial vaginectomy,1/7/1998,,2,2,,,
35560-01,1282,Complete vaginectomy,Complete vaginectomy,1/7/1998,,2,2,,,
35561-00,1282,Radical vaginectomy,Radical vaginectomy,1/7/1998,,2,2,,,
35565-00,1287,Vaginal reconstruction,Vaginal reconstruction,1/7/1998,,2,2,,,
35566-00,1282,Excision of vaginal septum,Excision of vaginal septum,1/7/1998,,2,2,,,
35567-00,1286,"Other repair of vagina, not elsewhere classified","Other repair of vagina, NEC",1/7/1998,1/7/2008,2,2,,,
35568-00,1285,Sacrospinous colpopexy,Sacrospinous colpopexy,1/7/2008,,2,1,,,
35569-00,1287,Enlargement of vaginal orifice,Enlargement of vaginal orifice,1/7/1998,,2,2,,,
35570-00,1283,"Repair of anterior vaginal compartment, vaginal approach","Repair of ant vag compt, vag appr",1/7/2008,,2,1,,,
35571-00,1283,"Repair of posterior vaginal compartment, vaginal approach","Repair of post vag compt, vag appr",1/7/2008,,2,1,,,
35572-00,1280,Colpotomy,Colpotomy,1/7/1998,,2,1,,,
35572-01,1280,Vaginotomy,Vaginotomy,1/7/1998,,2,1,,,
35573-00,1283,"Repair of anterior and posterior vaginal compartment, vaginal approach","Repair of ant & post vag compt, vag appr",1/7/2008,,2,1,,,
35576-00,1283,Repair of cystocele,Repair of cystocele,1/7/1998,1/7/2008,2,1,,,
35576-01,1283,Repair of rectocele,Repair of rectocele,1/7/1998,1/7/2008,2,1,,,
35577-00,1283,Repair of pelvic floor prolapse,Repair of pelvic floor prolapse,1/7/2008,,2,1,,,
35580-00,1283,Repair of cystocele and rectocele,Repair of cystocele and rectocele,1/7/1998,1/7/2008,2,1,,,
35584-00,1283,Repair of pelvic floor prolapse,Repair of pelvic floor prolapse,1/7/1998,1/7/2008,2,1,,,
35587-00,1283,Repair of urethrocele,Repair of urethrocele,1/7/1998,1/7/2008,2,1,,,
35590-00,1285,Suspension of vaginal vault,Suspension of vaginal vault,1/7/1998,1/7/2008,2,1,,,
35590-01,1283,"Repair of enterocele, abdominal approach","Repair enterocele, abdominal approach",1/7/1998,1/7/2008,2,1,,,
35590-02,1285,Suspension of vaginal vault with repair of enterocele,"Suspension vaginal vault, rep enterocele",1/7/1998,1/7/2008,2,1,,,
35593-00,1283,"Repair of enterocele, vaginal approach","Repair of enterocele, vaginal approach",1/7/1998,1/7/2008,2,1,,,
35595-00,1285,Laparoscopic pelvic floor repair,Laparoscopic pelvic floor repair,1/7/2008,,2,1,,,
35595-01,1285,Abdominal pelvic floor repair,Abdominal pelvic floor repair,1/7/2008,,2,1,,,
35596-00,1284,Repair of rectovaginal fistula,Repair rectovaginal fistula,1/7/1998,,2,1,,,
35596-01,1284,"Repair of vesicovaginal fistula, vaginal approach","Repair vesicovaginal fist, vaginal appr",1/7/1998,,2,1,,,
35596-02,1284,Repair of ureterovaginal fistula,Repair ureterovaginal fist,1/7/1998,,2,1,,,
35596-03,1284,Repair of other fistula of vagina,Repair of other fistula of vagina,1/7/1998,,2,1,,,
35597-00,1285,Laparoscopic sacral colpopexy,Laparoscopic sacral colpopexy,1/7/2008,,2,1,,,
35597-01,1285,Sacral colpopexy,Sacral colpopexy,1/7/2008,,2,1,,,
35599-00,1110,"Sling procedure for stress incontinence, female",Sling procedure for stress incont female,1/7/1998,,2,1,,,
35599-01,1110,"Revision of sling procedure for stress incontinence, female",Revision sling proc stress incont female,1/7/1998,,2,1,,,
35600-00,1110,Vaginal repair for stress incontinence,Vaginal repair for stress incontinence,1/7/1998,1/7/2008,2,1,,,
35608-00,1275,Cautery of cervix,Cautery of cervix,1/7/1998,,2,1,,,
35608-01,1275,Other destruction of lesion of cervix,Other destruction of lesion of cervix,1/7/1998,,2,1,,,
35608-02,1276,Biopsy of cervix,Biopsy of cervix,1/7/1998,,2,1,,,
35611-00,1276,Cervical polypectomy,Cervical polypectomy,1/7/1998,1/7/2017,2,1,,,
35611-01,1276,Partial excision of cervix,Partial excision of cervix,1/7/2017,,2,1,,,
35612-00,1276,"Removal of stump of cervix, abdominal approach","Removal stump of cervix, abdominal appr",1/7/1998,1/7/2017,2,1,,,
35613-00,1276,"Removal of stump of cervix, vaginal approach","R/O stump of cervix, vaginal approach",1/7/1998,1/7/2017,2,1,,,
35614-00,1279,Colposcopy,Colposcopy,1/7/1998,,2,1,,,
35615-00,1291,Biopsy of vulva,Biopsy of vulva,1/7/1998,,2,1,,,
35618-00,1276,Cone biopsy of cervix,Cone biopsy of cervix,1/7/1998,,2,1,,,
35618-01,1276,Cone biopsy of cervix by laser,Cone biopsy of cervix by laser,1/7/1998,,2,1,,,
35618-02,1277,Repair of cervix,Repair of cervix,1/7/1998,,2,1,,,
35618-03,1278,Other procedures on cervix,Other procedures on cervix,1/7/1998,,2,1,,,
35618-04,1276,Amputation of cervix,Amputation of cervix,1/7/1998,1/7/2017,2,1,,,
35620-00,1264,Biopsy of endometrium,Biopsy of endometrium,1/7/1998,1/7/2019,2,1,,,
35620-01,1264,Biopsy of uterus,Biopsy of uterus,1/7/2019,,2,1,,,
35620-02,1264,Laparoscopic biopsy of uterus,Laparoscopic biopsy of uterus,1/7/2019,,2,1,,,
35622-00,1263,Endoscopic destruction procedures on uterus,Endosc destruction proc on uterus,1/7/1998,,2,1,,,
35623-00,1266,Myomectomy of uterus via hysteroscopy,Myomectomy of uterus via hysteroscopy,1/7/1998,,2,1,,,
35623-01,1262,Division of uterine septum via hysteroscopy,"Division uterine septum, hysteroscopy",1/7/1998,1/7/2002,2,1,,,
35630-00,1259,Diagnostic hysteroscopy,Diagnostic hysteroscopy,1/7/1998,,2,1,,,
35633-00,1262,Division of intrauterine adhesions,Division of intrauterine adhesions,1/7/1998,,2,1,,,
35633-01,1266,Polypectomy of uterus via hysteroscopy,Polypectomy of uterus via hysteroscopy,1/7/1998,,2,1,,,
35633-02,1261,Hysteroscopy with tubal catheterisation,Hysteroscopy w tubal catheterisation,1/7/1998,,2,1,,,
35634-00,1262,Division of uterine septum via hysteroscopy,"Division uterine septum, hysteroscopy",1/7/2002,,2,1,,,
35637-00,1232,Gynaecological laparoscopy,Gynaecological laparoscopy,1/7/1998,1/7/2000,2,1,,,
35637-01,1230,Laparoscopic incision of abscess or cyst of pelvic cavity,"Lap incision abscess/cyst pelvic cavity",1/7/1998,1/7/2000,2,1,,,
35637-02,1299,Laparoscopic diathermy of lesion of pelvic cavity,Lap diathermy of lesion of pelvic cavity,1/7/1998,,2,1,,,
35637-03,1231,Laparoscopic division of pelvic peritoneal adhesions,Lap division pelvic peritoneal adhesions,1/7/1998,1/7/2000,2,1,,,
35637-04,1271,Laparoscopic ventrosuspension,Laparoscopic ventrosuspension,1/7/1998,,2,1,,,
35637-05,1234,Gynaecological laparoscopy with biopsy,Gynaecological laparoscopy with biopsy,1/7/1998,1/7/2000,2,1,,,
35637-06,1242,Biopsy of ovary,Biopsy of ovary,1/7/1998,,2,1,,,
35637-07,1241,Laparoscopic rupture of ovarian cyst or abscess,Lap rupture ovarian cyst or abscess,1/7/1998,,2,1,,,
35637-08,1241,Laparoscopic ovarian drilling,Laparoscopic ovarian drilling,1/7/1998,,2,1,,,
35637-09,1241,Laparoscopic division of ovarian adhesions,Laparoscopic division ovarian adhesions,1/7/1998,1/7/2000,2,1,,,
35637-10,1299,Laparoscopic excision of lesion of pelvic cavity,Lap excision of lesion of pelvic cavity,1/7/1998,,2,1,,,
35638-00,1243,Laparoscopic wedge resection of ovary,Laparoscopic wedge resection of ovary,1/7/1998,,2,1,,,
35638-01,1243,Laparoscopic partial oophorectomy,Laparoscopic partial oophorectomy,1/7/1998,,2,1,,,
35638-02,1243,"Laparoscopic oophorectomy, unilateral","Laparoscopic oophorectomy, unilateral",1/7/1998,,2,2,,,
35638-03,1243,"Laparoscopic oophorectomy, bilateral","Laparoscopic oophorectomy, bilateral",1/7/1998,,2,2,,,
35638-04,1244,"Laparoscopic ovarian cystectomy, unilateral","Laparoscopic ovarian cystectomy, uni",1/7/1998,,2,1,,,
35638-05,1244,"Laparoscopic ovarian cystectomy, bilateral","Laparoscopic ovarian cystectomy, bil",1/7/1998,,2,1,,,
35638-06,1249,Laparoscopic salpingotomy,Laparoscopic salpingotomy,1/7/1998,,2,1,,,
35638-07,1251,"Laparoscopic partial salpingectomy, unilateral","Laparoscopic partial salpingectomy, uni",1/7/1998,,2,2,,,
35638-08,1251,"Laparoscopic partial salpingectomy, bilateral","Laparoscopic partial salpingectomy, bil",1/7/1998,,2,2,,,
35638-09,1251,"Laparoscopic salpingectomy, unilateral","Laparoscopic salpingectomy, unilateral",1/7/1998,,2,2,,,
35638-10,1251,"Laparoscopic salpingectomy, bilateral","Laparoscopic salpingectomy, bilateral",1/7/1998,,2,2,,,
35638-11,1252,"Laparoscopic salpingo-oophorectomy, unilateral","Laparoscopic salpingo-oophorectomy, uni",1/7/1998,,2,2,,,
35638-12,1252,"Laparoscopic salpingo-oophorectomy, bilateral","Laparoscopic salpingo-oophorectomy, bil",1/7/1998,,2,2,,,
35638-13,1252,Laparoscopic unilateral oophorectomy with bilateral salpingectomy,"Lap uni oophorectomy, bil salpingectomy",1/7/1998,1/7/2008,2,2,,,
35638-14,1299,Laparoscopic uterosacral nerve ablation [LUNA],Lap uterosacral nerve ablation,1/7/2010,,2,1,,,
35640-00,1265,Dilation & curettage of uterus [D&C],Dilation & curettage of uterus [D&C],1/7/1998,,2,1,,,
35640-01,1265,Curettage of uterus without dilation,Curettage of uterus without dilation,1/7/1998,,2,1,,,
35640-02,1277,Dilation of cervix,Dilation of cervix,1/7/1998,,2,1,,,
35640-03,1265,Suction curettage of uterus,Suction curettage of uterus,1/7/2004,,2,1,,,
35643-00,1267,Dilation and curettage [D&C] following abortion or for termination of pregnancy,D&C foll abortn or for termntn of preg,1/7/1998,1/7/2008,2,1,,,
35643-01,1267,Suction curettage of uterus following abortion or for termination of pregnancy,"Suctn curet foll abortn / f termntn preg",1/7/1998,1/7/2008,2,1,,,
35643-02,1267,Dilation and evacuation of uterus [D&E],Dilation and evacuation of uterus [D&E],1/7/2002,1/7/2008,2,1,,,
35643-03,1265,Dilation and evacuation of uterus [D&E],Dilation and evacuation of uterus [D&E],1/7/2008,,2,1,,,
35646-00,1275,Radical diathermy of cervix,Radical diathermy of cervix,1/7/1998,,2,1,,,
35647-00,1275,Large loop excision of transformation zone [LLETZ],Large loop excision transformation zone,1/7/1998,,2,1,,,
35649-00,1262,Hysterotomy,Hysterotomy,1/7/1998,,2,1,,,
35649-01,1266,Myomectomy of uterus via laparoscopy,Myomectomy of uterus via laparoscopy,1/7/1998,,2,1,,,
35649-02,1262,Division of uterine septum via hysterotomy,Division uterine septum via hysterotomy,1/7/1998,,2,1,,,
35649-03,1266,Myomectomy of uterus,Myomectomy of uterus,1/7/1998,,2,1,,,
35653-00,1268,Subtotal abdominal hysterectomy,Subtotal abdominal hysterectomy,1/7/1998,,2,1,,,
35653-01,1268,Total abdominal hysterectomy,Total abdominal hysterectomy,1/7/1998,,2,1,,,
35653-02,1268,Abdominal hysterectomy with unilateral salpingo-oophorectomy,Abdo hysterectomy w uni salpgophcty,1/7/1998,1/7/2008,2,1,,,
35653-03,1268,Abdominal hysterectomy with bilateral salpingo-oophorectomy,Abdo hysterectomy bil salpgophcty,1/7/1998,1/7/2008,2,1,,,
35653-04,1268,Total abdominal hysterectomy with removal of adnexa,"Abdo hystrectmy w R/O adnexa",1/7/2008,1/7/2019,2,1,,,
35653-05,1268,Laparoscopic subtotal abdominal hysterectomy,Laparoscopic subtotal abdo hysterectomy,1/7/2019,,2,1,,,
35653-07,1268,Laparoscopic total abdominal hysterectomy,Laparoscopic total abdo hysterectomy,1/7/2019,,2,1,,,
35657-00,1269,Vaginal hysterectomy,Vaginal hysterectomy,1/7/1998,,2,1,,,
35658-00,1270,Debulking of uterus preceding hysterectomy,Debulking uterus preceding hysterectomy,1/7/1998,,2,1,,,
35661-00,1268,Abdominal hysterectomy with extensive retroperitoneal dissection,Abdo hystrectmy extsv retrpertnl dissect,1/7/1998,1/7/2019,2,1,,,
35664-00,1268,Radical abdominal hysterectomy with radical excision of pelvic lymph nodes,Rad abdo hystrectmy rad exc pelv lymph n,1/7/1998,1/7/2019,2,1,,,
35664-01,1269,Radical vaginal hysterectomy with radical excision of pelvic lymph nodes,Rad vaginal hystrectmy exc pelv lymph n,1/7/1998,1/7/2019,2,1,,,
35667-00,1268,Radical abdominal hysterectomy,Radical abdominal hysterectomy,1/7/1998,,2,1,,,
35667-01,1269,Radical vaginal hysterectomy,Radical vaginal hysterectomy,1/7/1998,,2,1,,,
35667-02,1268,Laparoscopic radical abdominal hysterectomy,Laparoscopic radical abdo hysterectomy,1/7/2019,,2,1,,,
35667-03,1269,Laparoscopically assisted radical vaginal hysterectomy,Lap asst radical vaginal hysterectomy,1/7/2019,,2,1,,,
35670-00,1268,Abdominal hysterectomy with radical excision of pelvic lymph nodes,Abdo hystrectmy rad exc pelv lymph nodes,1/7/1998,1/7/2019,2,1,,,
35673-00,1269,Vaginal hysterectomy with unilateral salpingo-oophorectomy,Vaginal hysterectomy w uni salpgophcty,1/7/1998,1/7/2008,2,1,,,
35673-01,1269,Vaginal hysterectomy with bilateral salpingo-oophorectomy,Vaginal hysterectomy w bil salpgophcty,1/7/1998,1/7/2008,2,1,,,
35673-02,1269,Vaginal hysterectomy with removal of adnexa,"Vagl hystrectomy w R/O adnexa",1/7/2008,1/7/2019,2,1,,,
35674-00,1256,Fetotoxic injection of ectopic pregnancy using ultrasound guidance,"Fetotoxic inj/o ectopic preg using u/s",1/7/1998,,2,1,,,
35674-01,1256,Fetotoxic injection of ectopic pregnancy via laparoscopy,"Fetotoxic inj/o ectopic preg v lap",1/7/1998,,2,1,,,
35677-00,1256,Removal of peritoneal ectopic pregnancy,"R/O peritoneal ectopic pregnancy",1/7/1998,,2,1,210,260,2
35677-01,1256,"Manual/hydrostatic expression of fallopian tube","Manual/hydrostatic expres fallopian tube",1/7/1998,,2,1,,,
35677-02,1256,Fetotoxic injection of ectopic pregnancy,Fetotoxic injection ectopic pregnancy,1/7/1998,,2,1,,,
35677-03,1256,Fetotoxic management for removal of ectopic pregnancy,"Fetotoxic management R/O ectopic preg",1/7/1998,,2,1,,,
35677-04,1256,Salpingotomy with removal of tubal pregnancy,Salpingotomy w removal tubal pregnancy,1/7/1998,,2,1,,,
35677-05,1256,Salpingectomy with removal of tubal pregnancy,Salpingectomy w removal tubal pregnancy,1/7/1998,,2,1,,,
35678-00,1256,Laparoscopic salpingotomy with removal of tubal pregnancy,"Lap salpingotomy w R/O tubal pregnancy",1/7/1998,,2,1,,,
35678-01,1256,Laparoscopic salpingectomy with removal of tubal pregnancy,"Lap salpingectomy w R/O tubal pregnancy",1/7/1998,,2,1,,,
35680-00,1272,Laparoscopic reconstruction of uterus and supporting structures,Lap reconstruction uterus & support str,1/7/1998,,2,1,,,
35680-01,1272,Reconstruction of uterus and supporting structures,Reconstruction uterus & supporting str,1/7/1998,,2,1,,,
35684-00,1271,Other laparoscopic uterine suspension,Other laparoscopic uterine suspension,1/7/1998,,2,1,,,
35684-01,1271,Uterine suspension,Uterine suspension,1/7/1998,,2,1,,,
35688-00,1257,Laparoscopic sterilisation,Laparoscopic sterilisation,1/7/1998,,2,1,,,
35688-01,1257,Sterilisation via vaginal approach,Sterilisation via vaginal approach,1/7/1998,,2,1,,,
35688-02,1257,Sterilisation by open abdominal approach,Sterilisation open abdominal approach,1/7/1998,,2,1,,,
35688-03,1257,Laparoscopic electrodestruction of fallopian tubes,Lap electrodestruction fallopian tubes,1/7/1998,,2,1,,,
35688-04,1257,Electrodestruction of fallopian tubes,Electrodestruction of fallopian tubes,1/7/1998,,2,1,,,
35694-00,1253,Laparoscopic salpingoplasty,Laparoscopic salpingoplasty,1/7/1998,,2,1,,,
35694-01,1254,Laparoscopic anastomosis of fallopian tube,Lap anastomosis of fallopian tube,1/7/1998,,2,1,,,
35694-02,1249,Laparoscopic salpingolysis,Laparoscopic salpingolysis,1/7/1998,,2,1,,,
35694-03,1255,Laparoscopic salpingostomy,Laparoscopic salpingostomy,1/7/1998,,2,1,,,
35694-04,1253,Salpingoplasty,Salpingoplasty,1/7/1998,,2,1,,,
35694-05,1254,Anastomosis of fallopian tube,Anastomosis of fallopian tube,1/7/1998,,2,1,,,
35694-06,1249,Salpingolysis,Salpingolysis,1/7/1998,,2,1,,,
35694-07,1255,Salpingostomy,Salpingostomy,1/7/1998,,2,1,,,
35697-00,1253,Microsurgical salpingoplasty,Microsurgical salpingoplasty,1/7/1998,,2,1,,,
35703-00,1258,Test for tubal patency,Test for tubal patency,1/7/1998,,2,1,,,
35703-01,1248,Therapeutic hydrotubation,Therapeutic hydrotubation,1/7/1998,,2,1,,,
35710-00,1248,Falloposcopy,Falloposcopy,1/7/1998,,2,1,,,
35713-00,1230,Incision of abscess or cyst of pelvic cavity,"Incision abscess/cyst of pelvic cavity",1/7/1998,1/7/2000,2,1,,,
35713-01,1299,Diathermy of lesion of pelvic cavity,Diathermy of lesion of pelvic cavity,1/7/1998,,2,1,,,
35713-02,1241,Rupture of ovarian cyst or abscess,Rupture of ovarian cyst or abscess,1/7/1998,,2,1,,,
35713-03,1241,Ovarian drilling,Ovarian drilling,1/7/1998,,2,1,,,
35713-04,1244,"Ovarian cystectomy, unilateral","Ovarian cystectomy, unilateral",1/7/1998,,2,1,,,
35713-05,1243,Wedge resection of ovary,Wedge resection of ovary,1/7/1998,,2,1,,,
35713-06,1243,Partial oophorectomy,Partial oophorectomy,1/7/1998,,2,1,,,
35713-07,1243,"Oophorectomy, unilateral","Oophorectomy, unilateral",1/7/1998,,2,2,,,
35713-08,1251,"Partial salpingectomy, unilateral","Partial salpingectomy, unilateral",1/7/1998,,2,2,,,
35713-09,1251,"Salpingectomy, unilateral","Salpingectomy, unilateral",1/7/1998,,2,2,,,
35713-10,1231,Division of pelvic peritoneal adhesions,Division of pelvic peritoneal adhesions,1/7/1998,1/7/2000,2,1,,,
35713-11,1252,"Salpingo-oophorectomy, unilateral","Salpingo-oophorectomy, unilateral",1/7/1998,,2,2,,,
